release_year,album,title,lyrics
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Talkin’ John Birch Paranoid Blues,"well, i was feelin’ sad and feelin’ blue

i didn’t know what in the world i wus gonna do

them communists they wus comin’ around

they wus in the air

they wus on the ground

they wouldn’t gimme no peace . . .



so i run down most hurriedly

and joined up with the john birch society

i got me a secret membership card

and started off a-walkin’ down the road

yee-hoo, i’m a real john bircher now

look out you commies



now we all agree with hitler’s views

although he killed six million jews

it don’t matter too much that he was a fascist

at least you can’t say he was a communist

that’s to say like if you got a cold you take a shot of malaria



well, i wus lookin’ everywhere for them gol-darned reds

i got up in the mornin’ ’n’ looked under my bed

looked in the sink, behind the door

looked in the glove compartment of my car

couldn’t find ’em . . .



i wus lookin’ high an’ low for them reds everywhere

i wus lookin’ in the sink an’ underneath the chair

i looked way up my chimney hole

i even looked deep down inside my toilet bowl

they got away . . .



well, i wus sittin’ home alone an’ started to sweat

figured they wus in my t.v. set

peeked behind the picture frame

got a shock from my feet, hittin’ right up in the brain

them reds caused it

i know they did . . . them hard-core ones



well, i quit my job so i could work all alone

then i changed my name to sherlock holmes

followed some clues from my detective bag

and discovered they wus red stripes on the american flag

that ol’ betsy ross . . .



well, i investigated all the books in the library

ninety percent of ’em gotta be burned away

i investigated all the people that i knowed

ninety-eight percent of them gotta go

the other two percent are fellow birchers . . . just like me



now eisenhower, he’s a russian spy

lincoln, jefferson and that roosevelt guy

to my knowledge there’s just one man

that’s really a true american: george lincoln rockwell

i know for a fact he hates commies cus he picketed the movie exodus



well, i fin’ly started thinkin’ straight

when i run outa things to investigate

couldn’t imagine doin’ anything else

so now i’m sittin’ home investigatin’ myself

hope i don’t find out anything . . . hmm, great god"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Paths of Victory,"trails of troubles

roads of battles

paths of victory

i shall walk



the trail is dusty

and my road it might be rough

but the better roads are waiting

and boys it ain’t far off



trails of troubles

roads of battles

paths of victory

we shall walk



i walked down by the river

i turned my head up high

i saw that silver linin’

that was hangin’ in the sky



trails of troubles

roads of battles

paths of victory

we shall walk



the evenin’ dusk was rollin’

i was walking down the track

there was a one-way wind a-blowin’

and it was blowin’ at my back



trails of troubles

roads of battles

paths of victory

we shall walk



the gravel road is bumpy

it’s a hard road to ride

but there’s a clearer road a-waitin’

with the cinders on the side



trails of troubles

roads of battles

paths of victory

we shall walk



that evening train was rollin’

the hummin’ of its wheels

my eyes they saw a better day

as i looked across the fields



trails of troubles

roads of battles

paths of victory

we shall walk



the trail is dusty

the road it might be rough

but the good road is a-waitin’

and boys it ain’t far off



trails of troubles

roads of battles

paths of victory

we shall walk"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Walls of Red Wing,"oh, the age of the inmates

i remember quite freely:

no younger than twelve

no older ’n seventeen

thrown in like bandits

and cast off like criminals

inside the walls

the walls of red wing



from the dirty old mess hall

you march to the brick wall

too weary to talk

and too tired to sing

oh, it’s all afternoon

you remember your hometown

inside the walls

the walls of red wing



oh, the gates are cast iron

and the walls are barbed wire

stay far from the fence

with the ’lectricity sting

and it’s keep down your head

and stay in your number

inside the walls

the walls of red wing



oh, it’s fare thee well

to the deep hollow dungeon

farewell to the boardwalk

that takes you to the screen

and farewell to the minutes

they threaten you with it

inside the walls

the walls of red wing



it’s many a guard

that stands around smilin’

holdin’ his club

like he was a king

hopin’ to get you

behind a wood pilin’

inside the walls

the walls of red wing



the night aimed shadows

through the crossbar windows

and the wind punched hard

to make the wall-siding sing

it’s many a night

i pretended to be a-sleepin’

inside the walls

the walls of red wing



as the rain rattled heavy

on the bunkhouse shingles

and the sounds in the night

they made my ears ring

’til the keys of the guards

clicked the tune of the morning

inside the walls

the walls of red wing



oh, some of us’ll end up

in st. cloud prison

and some of us’ll wind up

to be lawyers and things

and some of us’ll stand up

to meet you on your crossroads

from inside the walls

the walls of red wing"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Last Thoughts On Woody Guthrie,"when yer head gets twisted and yer mind grows numb

when you think you're too old, too young, too smart or too dumb

when yer laggin' behind an' losin' yer pace

in a slow-motion crawl of life's busy race

no matter what yer doing if you start givin' up

if the wine don't come to the top of yer cup

if the wind's got you sideways with with one hand holdin' on

and the other starts slipping and the feeling is gone

and yer train engine fire needs a new spark to catch it

and the wood's easy findin' but yer lazy to fetch it

and yer sidewalk starts curlin' and the street gets too long

and you start walkin' backwards though you know its wrong

and lonesome comes up as down goes the day

and tomorrow's mornin' seems so far away

and you feel the reins from yer pony are slippin'

and yer rope is a-slidin' 'cause yer hands are a-drippin'

and yer sun-decked desert and evergreen valleys

turn to broken down slums and trash-can alleys

and yer sky cries water and yer drain pipe's a-pourin'

and the lightnin's a-flashing and the thunder's a-crashin'

and the windows are rattlin' and breakin' and the roof tops a-shakin'

and yer whole world's a-slammin' and bangin'

and yer minutes of sun turn to hours of storm

and to yourself you sometimes say

""i never knew it was gonna be this way

why didn't they tell me the day i was born""

and you start gettin' chills and yer jumping from sweat

and you're lookin' for somethin' you ain't quite found yet

and yer knee-deep in the dark water with yer hands in the air

and the whole world's a-watchin' with a window peek stare

and yer good gal leaves and she's long gone a-flying

and yer heart feels sick like fish when they're fryin'

and yer jackhammer falls from yer hand to yer feet

and you need it badly but it lays on the street

and yer bell's bangin' loudly but you can't hear its beat

and you think yer ears might a been hurt

or yer eyes've turned filthy from the sight-blindin' dirt

and you figured you failed in yesterdays rush

when you were faked out an' fooled white facing a four flush

and all the time you were holdin' three queens

and it's makin you mad, it's makin' you mean

like in the middle of life magazine

bouncin' around a pinball machine

and there's something on yer mind you wanna be saying

that somebody someplace oughta be hearin'

but it's trapped on yer tongue and sealed in yer head

and it bothers you badly when your layin' in bed

and no matter how you try you just can't say it

and yer scared to yer soul you just might forget it

and yer eyes get swimmy from the tears in yer head

and yer pillows of feathers turn to blankets of lead

and the lion's mouth opens and yer staring at his teeth

and his jaws start closin with you underneath

and yer flat on your belly with yer hands tied behind

and you wish you'd never taken that last detour sign

and you say to yourself just what am i doin'

on this road i'm walkin', on this trail i'm turnin'

on this curve i'm hanging

on this pathway i'm strolling, in the space i'm taking

in this air i'm inhaling

am i mixed up too much, am i mixed up too hard

why am i walking, where am i running

what am i saying, what am i knowing

on this guitar i'm playing, on this banjo i'm frailin'

on this mandolin i'm strummin', in the song i'm singin'

in the tune i'm hummin', in the words i'm writin'

in the words that i'm thinkin'

in this ocean of hours i'm all the time drinkin'

who am i helping, what am i breaking

what am i giving, what am i taking

but you try with your whole soul best

never to think these thoughts and never to let

them kind of thoughts gain ground

or make yer heart pound

but then again you know why they're around

just waiting for a chance to slip and drop down

""cause sometimes you hear'em when the night times comes creeping

and you fear that they might catch you a-sleeping

and you jump from yer bed, from yer last chapter of dreamin'

and you can't remember for the best of yer thinking

if that was you in the dream that was screaming

and you know that it's something special you're needin'

and you know that there's no drug that'll do for the healin'

and no liquor in the land to stop yer brain from bleeding

and you need something special

yeah, you need something special all right

you need a fast flyin' train on a tornado track

to shoot you someplace and shoot you back

you need a cyclone wind on a stream engine howler

that's been banging and booming and blowing forever

that knows yer troubles a hundred times over

you need a greyhound bus that don't bar no race

that won't laugh at yer looks

your voice or your face

and by any number of bets in the book

will be rollin' long after the bubblegum craze

you need something to open up a new door

to show you something you seen before

but overlooked a hundred times or more

you need something to open your eyes

you need something to make it known

that it's you and no one else that owns

that spot that yer standing, that space that you're sitting

that the world ain't got you beat

that it ain't got you licked

it can't get you crazy no matter how many

times you might get kicked

you need something special all right

you need something special to give you hope

but hope's just a word

that maybe you said or maybe you heard

on some windy corner 'round a wide-angled curve



but that's what you need man, and you need it bad

and yer trouble is you know it too good

""cause you look an' you start getting the chills



""cause you can't find it on a dollar bill

and it ain't on macy's window sill

and it ain't on no rich kid's road map

and it ain't in no fat kid's fraternity house

and it ain't made in no hollywood wheat germ

and it ain't on that dimlit stage

with that half-wit comedian on it

ranting and raving and taking yer money

and you thinks it's funny

no you can't find it in no night club or no yacht club

and it ain't in the seats of a supper club

and sure as hell you're bound to tell

that no matter how hard you rub

you just ain't a-gonna find it on yer ticket stub

no, and it ain't in the rumors people're tellin' you

and it ain't in the pimple-lotion people are sellin' you

and it ain't in no cardboard-box house

or down any movie star's blouse

and you can't find it on the golf course

and uncle remus can't tell you and neither can santa claus

and it ain't in the cream puff hair-do or cotton candy clothes

and it ain't in the dime store dummies or bubblegum goons

and it ain't in the marshmallow noises of the chocolate cake voices

that come knockin' and tappin' in christmas wrappin'

sayin' ain't i pretty and ain't i cute and look at my skin

look at my skin shine, look at my skin glow

look at my skin laugh, look at my skin cry

when you can't even sense if they got any insides

these people so pretty in their ribbons and bows

no you'll not now or no other day

find it on the doorsteps made out-a paper mache¥

and inside it the people made of molasses

that every other day buy a new pair of sunglasses

and it ain't in the fifty-star generals and flipped-out phonies

who'd turn yuh in for a tenth of a penny

who breathe and burp and bend and crack

and before you can count from one to ten

do it all over again but this time behind yer back

my friend

the ones that wheel and deal and whirl and twirl

and play games with each other in their sand-box world

and you can't find it either in the no-talent fools

that run around gallant

and make all rules for the ones that got talent

and it ain't in the ones that ain't got any talent but think they do

and think they're foolin' you

the ones who jump on the wagon

just for a while 'cause they know it's in style

to get their kicks, get out of it quick

and make all kinds of money and chicks

and you yell to yourself and you throw down yer hat

sayin', ""christ do i gotta be like that

ain't there no one here that knows where i'm at

ain't there no one here that knows how i feel

good god almighty

that stuff ain't real""



no but that ain't yer game, it ain't even yer race

you can't hear yer name, you can't see yer face

you gotta look some other place

and where do you look for this hope that yer seekin'

where do you look for this lamp that's a-burnin'

where do you look for this oil well gushin'

where do you look for this candle that's glowin'

where do you look for this hope that you know is there

and out there somewhere

and your feet can only walk down two kinds of roads

your eyes can only look through two kinds of windows

your nose can only smell two kinds of hallways

you can touch and twist

and turn two kinds of doorknobs

you can either go to the church of your choice

or you can go to brooklyn state hospital

you'll find god in the church of your choice

you'll find woody guthrie in brooklyn state hospital



and though it's only my opinion

i may be right or wrong

you'll find them both

in the grand canyon

at sundown"
1963,The Freewheelin',Down the Highway,"well, i’m walkin’ down the highway
 
 with my suitcase in my hand
 
 yes, i’m walkin’ down the highway
 
 with my suitcase in my hand
 
 lord, i really miss my baby
 
 she’s in some far-off land
 
 
 
 well, your streets are gettin’ empty
 
 lord, your highway’s gettin’ filled
 
 and your streets are gettin’ empty
 
 and your highway’s gettin’ filled
 
 well, the way i love that woman
 
 i swear it’s bound to get me killed
 
 
 
 well, i been gamblin’ so long
 
 lord, i ain’t got much more to lose
 
 yes, i been gamblin’ so long
 
 lord, i ain’t got much more to lose
 
 right now i’m havin’ trouble
 
 please don’t take away my highway shoes
 
 
 
 well, i’m bound to get lucky, baby
 
 or i’m bound to die tryin’
 
 yes, i’m a-bound to get lucky, baby
 
 lord, lord i’m a-bound to die tryin’
 
 well, meet me in the middle of the ocean
 
 and we’ll leave this ol’ highway behind
 
 
 
 well, the ocean took my baby
 
 my baby stole my heart from me
 
 yes, the ocean took my baby
 
 my baby took my heart from me
 
 she packed it all up in a suitcase
 
 lord, she took it away to italy, italy
 
 
 
 so, i’m a-walkin’ down your highway
 
 just as far as my poor eyes can see
 
 yes, i’m a-walkin’ down your highway
 
 just as far as my eyes can see
 
 from the golden gate bridge
 
 all the way to the statue of liberty"
1963,The Freewheelin',Masters of War,"come you masters of war
 
 you that build all the guns
 
 you that build the death planes
 
 you that build the big bombs
 
 you that hide behind walls
 
 you that hide behind desks
 
 i just want you to know
 
 i can see through your masks
 
 
 
 you that never done nothin’
 
 but build to destroy
 
 you play with my world
 
 like it’s your little toy
 
 you put a gun in my hand
 
 and you hide from my eyes
 
 and you turn and run farther
 
 when the fast bullets fly
 
 
 
 like judas of old
 
 you lie and deceive
 
 a world war can be won
 
 you want me to believe
 
 but i see through your eyes
 
 and i see through your brain
 
 like i see through the water
 
 that runs down my drain
 
 
 
 you fasten the triggers
 
 for the others to fire
 
 then you set back and watch
 
 when the death count gets higher
 
 you hide in your mansion
 
 as young people’s blood
 
 flows out of their bodies
 
 and is buried in the mud
 
 
 
 you’ve thrown the worst fear
 
 that can ever be hurled
 
 fear to bring children
 
 into the world
 
 for threatening my baby
 
 unborn and unnamed
 
 you ain’t worth the blood
 
 that runs in your veins
 
 
 
 how much do i know
 
 to talk out of turn
 
 you might say that i’m young
 
 you might say i’m unlearned
 
 but there’s one thing i know
 
 though i’m younger than you
 
 even jesus would never
 
 forgive what you do
 
 
 
 let me ask you one question
 
 is your money that good
 
 will it buy you forgiveness
 
 do you think that it could
 
 i think you will find
 
 when your death takes its toll
 
 all the money you made
 
 will never buy back your soul
 
 
 
 and i hope that you die
 
 and your death’ll come soon
 
 i will follow your casket
 
 in the pale afternoon
 
 and i’ll watch while you’re lowered
 
 down to your deathbed
 
 and i’ll stand o’er your grave
 
 ’til i’m sure that you’re dead"
1963,The Freewheelin',Bob Dylan's Blues,"well, the lone ranger and tonto
 
 they are ridin’ down the line
 
 fixin’ ev’rybody’s troubles
 
 ev’rybody’s ’cept mine
 
 somebody musta tol’ ’em
 
 that i was doin’ fine
 
 
 
 oh you five and ten cent women
 
 with nothin’ in your heads
 
 i got a real gal i’m lovin’
 
 and lord i’ll love her till i’m dead
 
 go away from my door and my window too
 
 right now
 
 
 
 lord, i ain’t goin’ down to no race track
 
 see no sports car run
 
 i don’t have no sports car
 
 and i don’t even care to have one
 
 i can walk anytime around the block
 
 
 
 well, the wind keeps a-blowin’ me
 
 up and down the street
 
 with my hat in my hand
 
 and my boots on my feet
 
 watch out so you don’t step on me
 
 
 
 well, lookit here buddy
 
 you want to be like me
 
 pull out your six-shooter
 
 and rob every bank you can see
 
 tell the judge i said it was all right
 
 yes"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Walkin’ Down the Line,"well, i’m walkin’ down the line

i’m walkin’ down the line

an’ i’m walkin’ down the line

my feet’ll be a-flyin’

to tell about my troubled mind



i got a heavy-headed gal

i got a heavy-headed gal

i got a heavy-headed gal

she ain’t a-feelin’ well

when she’s better only time will tell



well, i’m walkin’ down the line

i’m walkin’ down the line

an’ i’m walkin’ down the line

my feet’ll be a-flyin’

to tell about my troubled mind



my money comes and goes

my money comes and goes

my money comes and goes

and rolls and flows and rolls and flows

through the holes in the pockets in my clothes



well, i’m walkin’ down the line

i’m walkin’ down the line

an’ i’m walkin’ down the line

my feet’ll be a-flyin’

to tell about my troubled mind



i see the morning light

i see the morning light

well, it’s not because

i’m an early riser

i didn’t go to sleep last night



well, i’m walkin’ down the line

i’m walkin’ down the line

an’ i’m walkin’ down the line

my feet’ll be a-flyin’

to tell about my troubled mind



i got my walkin’ shoes

i got my walkin’ shoes

i got my walkin’ shoes

an’ i ain’t a-gonna lose

i believe i got the walkin’ blues



well, i’m walkin’ down the line

i’m walkin’ down the line

an’ i’m walkin’ down the line

my feet’ll be a-flyin’

to tell about my troubled mind"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Only a Hobo,"as i was out walking on a corner one day

i spied an old hobo, in a doorway he lay

his face was all grounded in the cold sidewalk floor

and i guess he’d been there for the whole night or more



only a hobo, but one more is gone

leavin’ nobody to sing his sad song

leavin’ nobody to carry him home

only a hobo, but one more is gone



a blanket of newspaper covered his head

as the curb was his pillow, the street was his bed

one look at his face showed the hard road he’d come

and a fistful of coins showed the money he bummed



only a hobo, but one more is gone

leavin’ nobody to sing his sad song

leavin’ nobody to carry him home

only a hobo, but one more is gone



does it take much of a man to see his whole life go down

to look up on the world from a hole in the ground

to wait for your future like a horse that’s gone lame

to lie in the gutter and die with no name



only a hobo, but one more is gone

leavin’ nobody to sing his sad song

leavin’ nobody to carry him home

only a hobo, but one more is gone"
1963,The Freewheelin',Girl from the North Country,"well, if you’re travelin’ in the north country fair
 
 where the winds hit heavy on the borderline
 
 remember me to one who lives there
 
 she once was a true love of mine
 
 
 
 well, if you go when the snowflakes storm
 
 when the rivers freeze and summer ends
 
 please see if she’s wearing a coat so warm
 
 to keep her from the howlin’ winds
 
 
 
 please see for me if her hair hangs long,
 
 if it rolls and flows all down her breast.
 
 please see for me if her hair hangs long,
 
 that’s the way i remember her best.
 
 
 
 i’m a-wonderin’ if she remembers me at all
 
 many times i’ve often prayed
 
 in the darkness of my night
 
 in the brightness of my day
 
 
 
 so if you’re travelin’ in the north country fair
 
 where the winds hit heavy on the borderline
 
 remember me to one who lives there
 
 she once was a true love of mine"
1963,The Freewheelin',Blowin' in the wind,"how many roads must a man walk down
 
 before you call him a man
 
 yes, ’n’ how many seas must a white dove sail
 
 before she sleeps in the sand
 
 yes, ’n’ how many times must the cannonballs fly
 
 before they’re forever banned
 
 the answer, my friend, is blowin’ in the wind
 
 the answer is blowin’ in the wind
 
 
 
 how many years can a mountain exist
 
 before it’s washed to the sea
 
 yes, ’n’ how many years can some people exist
 
 before they’re allowed to be free
 
 yes, ’n’ how many times can a man turn his head
 
 pretending he just doesn’t see
 
 the answer, my friend, is blowin’ in the wind
 
 the answer is blowin’ in the wind
 
 
 
 how many times must a man look up
 
 before he can see the sky
 
 yes, ’n’ how many ears must one man have
 
 before he can hear people cry
 
 yes, ’n’ how many deaths will it take till he knows
 
 that too many people have died
 
 the answer, my friend, is blowin’ in the wind
 
 the answer is blowin’ in the wind"
1963,The Freewheelin',A Hard Rain's A-Gonna Fall,"oh, where have you been, my blue-eyed son
 
 oh, where have you been, my darling young one
 
 i’ve stumbled on the side of twelve misty mountains
 
 i’ve walked and i’ve crawled on six crooked highways
 
 i’ve stepped in the middle of seven sad forests
 
 i’ve been out in front of a dozen dead oceans
 
 i’ve been ten thousand miles in the mouth of a graveyard
 
 and it’s a hard, and it’s a hard, it’s a hard, and it’s a hard
 
 and it’s a hard rain’s a-gonna fall
 
 
 
 oh, what did you see, my blue-eyed son
 
 oh, what did you see, my darling young one
 
 i saw a newborn baby with wild wolves all around it
 
 i saw a highway of diamonds with nobody on it
 
 i saw a black branch with blood that kept drippin’
 
 i saw a room full of men with their hammers a-bleedin’
 
 i saw a white ladder all covered with water
 
 i saw ten thousand talkers whose tongues were all broken
 
 i saw guns and sharp swords in the hands of young children
 
 and it’s a hard, and it’s a hard, it’s a hard, it’s a hard
 
 and it’s a hard rain’s a-gonna fall
 
 
 
 and what did you hear, my blue-eyed son
 
 and what did you hear, my darling young one
 
 i heard the sound of a thunder, it roared out a warnin’
 
 heard the roar of a wave that could drown the whole world
 
 heard one hundred drummers whose hands were a-blazin’
 
 heard ten thousand whisperin’ and nobody listenin’
 
 heard one person starve, i heard many people laughin’
 
 heard the song of a poet who died in the gutter
 
 heard the sound of a clown who cried in the alley
 
 and it’s a hard, and it’s a hard, it’s a hard, it’s a hard
 
 and it’s a hard rain’s a-gonna fall
 
 
 
 oh, who did you meet, my blue-eyed son
 
 who did you meet, my darling young one
 
 i met a young child beside a dead pony
 
 i met a white man who walked a black dog
 
 i met a young woman whose body was burning
 
 i met a young girl, she gave me a rainbow
 
 i met one man who was wounded in love
 
 i met another man who was wounded with hatred
 
 and it’s a hard, it’s a hard, it’s a hard, it’s a hard
 
 it’s a hard rain’s a-gonna fall
 
 
 
 oh, what’ll you do now, my blue-eyed son
 
 oh, what’ll you do now, my darling young one
 
 i’m a-goin’ back out ’fore the rain starts a-fallin’
 
 i’ll walk to the depths of the deepest black forest
 
 where the people are many and their hands are all empty
 
 where the pellets of poison are flooding their waters
 
 where the home in the valley meets the damp dirty prison
 
 where the executioner’s face is always well hidden
 
 where hunger is ugly, where souls are forgotten
 
 where black is the color, where none is the number
 
 and i’ll tell it and think it and speak it and breathe it
 
 and reflect it from the mountain so all souls can see it
 
 then i’ll stand on the ocean until i start sinkin’
 
 but i’ll know my song well before i start singin’
 
 and it’s a hard, it’s a hard, it’s a hard, it’s a hard
 
 it’s a hard rain’s a-gonna fall"
1963,The Freewheelin',Oxford Town,"oxford town, oxford town
 
 ev’rybody’s got their heads bowed down
 
 the sun don’t shine above the ground
 
 ain’t a-goin’ down to oxford town
 
 
 
 he went down to oxford town
 
 guns and clubs followed him down
 
 all because his face was brown
 
 better get away from oxford town
 
 
 
 oxford town around the bend
 
 he come in to the door, he couldn’t get in
 
 all because of the color of his skin
 
 what do you think about that, my frien’
 
 
 
 me and my gal, my gal’s son
 
 we got met with a tear gas bomb
 
 i don’t even know why we come
 
 goin’ back where we come from
 
 
 
 oxford town in the afternoon
 
 ev’rybody singin’ a sorrowful tune
 
 two men died ’neath the mississippi moon
 
 somebody better investigate soon
 
 
 
 oxford town, oxford town
 
 ev’rybody’s got their heads bowed down
 
 the sun don’t shine above the ground
 
 ain’t a-goin’ down to oxford town"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Eternal Circle,"i sang the song slowly

as she stood in the shadows

she stepped to the light

as my silver strings spun

she called with her eyes

to the tune i’s a-playin’

but the song it was long

and i’d only begun



through a bullet of light

her face was reflectin’

the fast fading words

that rolled from my tongue

with a long-distance look

her eyes was on fire

but the song it was long

and there was more to be sung



my eyes danced a circle

across her clear outline

with her head tilted sideways

she called me again

as the tune drifted out

she breathed hard through the echo

but the song it was long

and it was far to the end



i glanced at my guitar

and played it pretendin’

that of all the eyes out there

i could see none

as her thoughts pounded hard

like the pierce of an arrow

but the song it was long

and it had to get done



as the tune finally folded

i laid down the guitar

then looked for the girl

who’d stayed for so long

but her shadow was missin’

for all of my searchin’

so i picked up my guitar

and began the next song"
